Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22P4pdewDzq8,Kerdi-Board-SN 12 in. x 28 in. Shower Niche,Kerdi-Board-SN 12 in. x 28 in. Shower Niche is a prefabricated shower niche made of Schluter-Kerdi-Board. Lightweight for ease of installation. Waterproof niche once installed is ready for tiling.,,,,128.07,,182.95714285714286,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Board-SN-12-in-x-28-in-Shower-Niche-KB12SN305711A1/204483945,,,,,,,1.2,,,,
22P4pdgBvPAV,Kerdi-Drain 2 in. PVC Flange,"The Kerdi-Drain flange is designed for use with the Kerdi-Shower-T/-TS/-TT shower trays and mortar bed shower applications. The package contains a bonding flange, Kerdi-Kereck waterproof corners, Kerdi-Seal mixing valve seal and Kerdi-Seal pipe seal. The Kerdi-Drain flange can be used in both commercial and residential applications. This flange is to be used with Kerdi-Drain grates which are sold separate.",,,,90.21,,128.87142857142857,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Drain-2-in-PVC-Flange-KD2FLKPVC/308308698,,,,,,,1.2,,,,
22P4pdgETCzK,Kerdi-Drain 4 in. Brushed Stainless Steel Floral Drain Grate,"The Kerdi-Drain grate is designed for use with the Kerdi-Drain flange which is sold separate. The 4 in. square drain grate comes with a frame, height adjustment collar and lateral adjustment ring. The grate accommodates tiles 1/4 in. to 1-1/4 in. thick and allows for lateral and tilt adjustment. The Kerdi-Drain grate can be used in both commercial and residential applications.",,,,99,,141.42857142857144,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Drain-4-in-Brushed-Stainless-Steel-Floral-Drain-Grate-KDIF4GRKEBD5/309686217,,,,,,,1.2,,,,
22P4pdfw4p86,Kerdi-Drain 4 in. Chrome Drain Grate,"The Kerdi-Drain grate is designed for use with the Kerdi-Drain flange which is sold separate. The 4 in. square drain grate comes with a frame, height adjustment collar and lateral adjustment ring. The grate accommodates tiles 1/4 in. to 1-1/4 in. thick and allows for lateral and tilt adjustment. The Kerdi-Drain grate can be used in both commercial and residential applications.",,,,62.86,,89.80000000000001,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Drain-4-in-Chrome-Drain-Grate-KD4GRKEP/309686190,,,,,,,1.2,,,,
22P4pdfytvui,Kerdi-Drain 4 in. Matte Black Floral Drain Grate,"The Kerdi-Drain grate is designed for use with the Kerdi-Drain flange which is sold separate. The 4 in. square drain grate comes with a frame, height adjustment collar and lateral adjustment ring. The grate accommodates tiles 1/4 in. to 1-1/4 in. thick and allows for lateral and tilt adjustment. The Kerdi-Drain grate can be used in both commercial and residential applications.",,,,163.93,,234.1857142857143,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Drain-4-in-Matte-Black-Floral-Drain-Grate-KDIF4GRKMGSD5/312769443,,,,,,,1.2,,,,
22P4pdg3nGX7,Kerdi-Drain 4 in. Matte White Floral Drain Grate,"The Kerdi-Drain grate is designed for use with the Kerdi-Drain flange which is sold separate. The 4 in. square drain grate comes with a frame, height adjustment collar and lateral adjustment ring. The grate accommodates tiles 1/4 in. to 1-1/4 in. thick and allows for lateral and tilt adjustment. The Kerdi-Drain grate can be used in both commercial and residential applications.",,,,159,,227.14285714285717,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Drain-4-in-Matte-White-Floral-Drain-Grate-KDIF4GRKMBWD5/312769425,,,,,,,1.2,,,,
22P4pdg6XGgL,Kerdi-Drain 4 in. Stainless Steel Grate,"The Kerdi-Drain grate is designed for use with the Kerdi-Drain flange which is sold separate. The 4 in. square drain grate comes with a frame, height adjustment collar and lateral adjustment ring. The grate accommodates tiles 1/4 in. to 1-1/4 in. thick and allows for lateral and tilt adjustment. The Kerdi-Drain grate can be used in both commercial and residential applications.",,,,63.76,,91.08571428571429,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Drain-4-in-Stainless-Steel-Grate-KD4GRKE/308309338,,,,,,,1.2,,,,
22P4pdg9G7y8,Kerdi-Drain 4 in. Tileable Drain Grate Floor Installation Kit for Accessory,The Kerdi-Drain grate is designed for use with the Kerdi-Drain flange which is sold separate. The 4 in. square tileable drain support comes with a spacer and lateral adjustment ring. The Kerdi-Drain grate can be used in both commercial and residential applications.,,,,62.2,,88.85714285714286,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Drain-4-in-Tileable-Drain-Grate-Floor-Installation-Kit-for-Accessory-KD4GRKECS/309686187,,,,,,,1.2,,,,
22P4pdfqzzC7,Kerdi-Fix 290 ml Bright White Sealing/Bonding Compound,"Kerdi-Fix is a single-component sealing and bonding compound with a silane-modified polymer base. It is elastomeric and bonds well to most materials. Kerdi-Fix is odor-neutral, UV- and weather-resistant, and contains no solvents. It is suitable for use as a sealant and can be used to bond Kerdi-Band and Kerdi waterproofing membrane to fixed building elements.",,,,30.93,,44.18571428571429,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Fix-290-ml-Bright-White-Sealing-Bonding-Compound-KERDIFIX-BW/202608389,,,,,,,1.2,,,,
22P4pdftTdnr,Kerdi-Fix 290 ml Gray Tile Edge Sealing/Bonding Compound,"Kerdi-Fix is a single-component sealing and bonding compound with a silane-modified polymer base. It is elastomeric and bonds well to most materials. Kerdi-Fix is odor-neutral, UV- and weather-resistant, and contains no solvents. It is suitable for use as a sealant and can be used to bond Kerdi-Band and Kerdi waterproofing membrane to fixed building elements.",,,,30.93,,44.18571428571429,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Fix-290-ml-Gray-Tile-Edge-Sealing-Bonding-Compound-KERDIFIX-G/202608391,,,,,,,1.2,,,,
