Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22P4pdgGMLHZ,Kerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kerdi,Kerdi,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Kerdi,Kerdi; Membranes,22P4pdehQygD,Material | Tile | Kerdi 323 sq.ft. 79 x in. W 49 x ft. L x 8 mm T Waterproofing Membrane Underlayment for Tile,KERDI200200/15M is a sheet-applied polyethylene waterproofing membrane and vapor retarder. This 6 ft. 7 in. wide roll covers the wall from the floor to a standard shower head height. This creates fewer seams and a quicker installation time. The membrane is 8 mil thick and features an anchoring fleece on both sides to anchor it in thin-set mortar. Kerdi eliminates water damage which can lead to mold and mildew.,,,Each,598.37,,854.81,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-323-sq-ft-79-x-in-W-49-x-ft-L-x-8-mm-T-Waterproofing-Membrane-Underlayment-for-Tile-KERDI200200-15M/315508360,,,,,,,1.2,,,,
,Kerdi,Kerdi; Kerdi Board,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Kerdi,Kerdi; Kerdi Board,22P4pdejtRkA,"Material | Tile | Kerdi-Board Panel | 1/2"" 48x96","Kerdi-Board is a multifunctional tile substrate and building panel that can be used for creating bonded waterproofing assemblies with tile coverings. Kerdi-Board is made from an extruded polystyrene foam panel, with a special reinforcement material on both sides and fleece webbing for effective anchoring in thinset mortar. It can be used in the creation of a broad range of building elements, such as showers and bathtub surrounds.",,,Each,,,,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Kerdi-Board-1-2-in-x-48-in-x-96-in-Building-Panel-KB1212202440/205756274,,,,,,,1.2,,,,
,Kerdi,Kerdi; Kerdi Board,22P4pdencGvc,Material | Tile | Kerdi-Board Bench Rectangular Shower Bench | 38x11-1/2,"Kerdi-Board-SB is a prefabricated shower bench designed to integrate with the Schluter-Shower-System. It is lightweight, waterproof and ready to tile making installation quick and easy. The bench is made of Kerdi-Board and comes with Kerdi-Kereck waterproofing corners.",,,Each,290.26,,414.66,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Board-SB-38-in-x-11-1-2-in-Rectangular-Shower-Bench-KBSB290970RA/309830436,,,,,,,1.2,,,,
,Kerdi,Kerdi; Kerdi Board,22P4pder8b7y,"Material | Tile | Kerdi-Board Shower Curb | 48""","Kerdi-Board-SC is a lightweight, prefabricated shower curb. It is made of Kerdi-Board and is designed to integrate with the Schluter-Shower System. This curb is waterproof and only the joints and corners need to be sealed to complete waterproofing.",,,Each,72.86,,104.09,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Board-SC-48-in-x-6-in-x-4-1-2-in-Shower-Curb-KBSC1151501220/308315436,,,,,,,1.2,,,,
,Kerdi,Kerdi; Kerdi Board,22P4pdeteHPY,"Material | Tile | Kerdi-Board Shower Curb | 60""","Kerdi-Board-SC is a lightweight, prefabricated shower curb. It is made of Kerdi-Board and is designed to integrate with the Schluter-Shower System. This curb is waterproof and only the joints and corners need to be sealed to complete waterproofing.",,,Each,106.86,,152.66,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Board-SC-60-in-x-6-in-x-4-1-2-in-Shower-Curb-KBSC1151501524/309830432,,,,,,,1.2,,,,
,Kerdi,Kerdi; Kerdi Board,22P4pdewDzq8,Material | Tile | Kerdi-Board Niche | 12x28,Kerdi-Board-SN 12 in. x 28 in. Shower Niche is a prefabricated shower niche made of Schluter-Kerdi-Board. Lightweight for ease of installation. Waterproof niche once installed is ready for tiling.,,,Each,128.07,,182.96,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Board-SN-12-in-x-28-in-Shower-Niche-KB12SN305711A1/204483945,,,,,,,1.2,,,,
,Kerdi,Kerdi; Kerdi Board,22P4pdeyk2KE,Material | Tile | Kerdi-Board Hardware Set,The KBZS35GT32Z is a hardware set consisting of screws and washers designed for the installation of Kerdi-Board. It is used to fasten Kerdi-Board to stud framing. The set contains 40 screws and 40 washers.,,,Each,14.94,,21.34,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Board-Hardware-Set-with-1-5-8-in-Screw-and-1-1-4-in-Washer-KBZS35GT32Z/202967607,,,,,,,1.2,,,,
,Kerdi,Kerdi; Kerdi Board,22P4pdf3FT85,Material | Tile | Kerdi-Board Bench Triangular Shower Bench | 24x24,"Kerdi-Board-SB is a prefabricated shower bench designed to integrate with the Schluter-Shower-System. It is lightweight, waterproof and ready to tile making installation quick and easy. The bench is made of Kerdi-Board and comes with Kerdi-Kereck waterproofing corners.",,,Each,234.57,,335.1,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Board-SB-24-in-x-24-in-Triangular-Shower-Bench-KBSB610TA/309830435,,,,,,,1.2,,,,
,Kerdi,Kerdi; Kerdi Board,22NmAGFPyTwY,"Material | Tile | HydroBan Board | 1/2"" 4x8",,0,ceil({shower wall tile square ft}/32)+1,Each,98.99,,141.41,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Kerdi,Kerdi; Kerdi Board,22NmAGGByH2E,"Material | Tile | HydroBan Board | 1/2"" 3x5",,0,,Each,50.39,,71.99,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Kerdi,Kerdi; Pans,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
