Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
,Dempsey Copy,Plumbing; Toilet Install Labor,22NmAGDAWcGh,Labor | Plumbing | Install Toilet,"Replace existing toilet with new toilet, includes all material needed.",2,,Hours,80,,120,,1100 Plumbing,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Plumbing; Shower Plumbing Labor,,,,,,Hours,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Plumbing; Shower Plumbing Labor,22P3DNcfDskE,Labor | Plumbing | Run showerhead Copper,,4,,Hours,100,,142.86,,1100 Plumbing,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Plumbing; Shower Plumbing Labor,22NmAGD6diSJ,Labor | Plumbing | Install Mixer Valve,,4,,Hours,100,,142.86,,1100 Plumbing,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Plumbing; Shower Plumbing Labor,22NmAGCr4qAF,Labor | Plumbing | Install Shower Trim,"Remove existing fixtures and replace each fixture with a new fixture: sink faucet, toilet supply, shower, tub.",2,,Hours,62,,124,,1100 Plumbing,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Plumbing; Materials,,,,,,,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Plumbing; Materials,22Nn3YsGDcdm,Material | Plumbing | PVC Fittings,,6,,Each,3,,4.2,,1100 Plumbing,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Plumbing; Materials,22Nn3YsE3wL5,"Material | Plumbing | PVC Drain pipe | 2"" 10'",,1,,Each,17,,23.8,,1100 Plumbing,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Plumbing; Materials,22Nn3Ys7VTTU,Material | Plumbing | Shower Valve | Moen Posi-Temp PEX,,1,,Each,135,,189,,1100 Plumbing,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Plumbing; Materials,22NmAGDgD8fa,"Material | Plumbing | Copper Pipe | 1/2""",,2,,Each,8,,11.43,,1100 Plumbing,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Plumbing; Materials,22NtXwrsQRF4,Material | Plumbing | Copper Fittings,,1,,Lump Sum,30,,60,,1100 Plumbing,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Tilework,,,"Install Schluter Waterproofing on Walls.
Install Ditra on floor as decoupling membrane. 
Install Shower Tile With 2 Niches, Optional Accent Tile, and Schluter Trim.
Install Floor Tile and Baseboard.
Grout and Seal.
Silicone All Plane Transitions (Wall to Wall, Wall to Floor).",118,{shower wall tile (sq ft)}+ {shower pan tile (sq ft)},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Tilework; Floor Tile,,,,40,{shower pan tile (sq ft)},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Tilework; Floor Tile,22NmAGFE8caR,Labor | Tile | Tile Installation,,14,ceil({production rate}*{shower pan tile (sq ft)}),Hours,80,,114.29,,1800 Tiling,Labor,false,,false,false,true,false,,,,,,true,true,,0.315,,,,,,,,,,
,Dempsey Copy,Tilework; Shower Tile,,,,78,{shower wall tile (sq ft)},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Tilework; Shower Tile,22NmAGFE8caR,Labor | Tile | Tile Installation,,16,ceil({production rate}*{parent quantity}),Hours,80,,114.29,,1800 Tiling,Labor,false,,false,false,true,false,,,,,,true,true,,0.315,,,,,,,,,,
